symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2018-04-19 00:00:00+00:00,59.22,59.49,58.73,59.42,6280126,53.5136049426,53.7575879439,53.0708209774,53.6943330917,6280126,0.0,1.0
SBUX,2018-04-20 00:00:00+00:00,58.0,59.18,57.8,59.03,12037567,52.4111632332,53.4774593128,52.2304350841,53.341913201,12037567,0.0,1.0
SBUX,2018-04-23 00:00:00+00:00,58.16,58.73,57.69,58.01,8444396,52.5557457525,53.0708209774,52.1310346021,52.4201996407,8444396,0.0,1.0
SBUX,2018-04-24 00:00:00+00:00,57.81,58.66,57.65,58.48,7793565,52.2394714916,53.0075661252,52.0948889723,52.844910791,7793565,0.0,1.0
SBUX,2018-04-25 00:00:00+00:00,57.71,58.27,57.29,58.27,8367357,52.149107417,52.6551462345,51.769578304,52.6551462345,8367357,0.0,1.0
SBUX,2018-04-26 00:00:00+00:00,59.38,60.18,57.85,58.11,14516626,53.6581874619,54.3811000582,52.2756171214,52.5105637152,14516626,0.0,1.0
SBUX,2018-04-27 00:00:00+00:00,58.36,58.98,57.5,58.07,11975153,52.7364739016,53.2967311637,51.9593428605,52.4744180854,11975153,0.0,1.0
SBUX,2018-04-30 00:00:00+00:00,57.57,58.51,57.46,58.39,7854596,52.0225977127,52.8720200134,51.9231972307,52.7635831239,7854596,0.0,1.0
SBUX,2018-05-01 00:00:00+00:00,58.13,58.25,57.44,57.67,7257462,52.5286365301,52.6370734196,51.9051244158,52.1129617872,7257462,0.0,1.0
SBUX,2018-05-02 00:00:00+00:00,56.7,58.09,56.53,58.06,7299089,51.2364302642,52.4924909003,51.0828113375,52.4653816779,7299089,0.0,1.0
SBUX,2018-05-03 00:00:00+00:00,56.13,56.57,55.54,56.52,7152390,50.7213550393,51.1189569673,50.1882069995,51.07377493,7152390,0.0,1.0
SBUX,2018-05-04 00:00:00+00:00,57.68,57.93,56.49,56.54,9279180,52.1219981947,52.347908381,51.0466657077,51.0918477449,9279180,0.0,1.0
SBUX,2018-05-07 00:00:00+00:00,57.45,59.04,57.27,58.99,10630594,51.9141608232,53.3509496084,51.7515054891,53.3057675712,10630594,0.0,1.0
SBUX,2018-05-08 00:00:00+00:00,57.67,57.71,57.0,57.45,7234031,52.1129617872,52.149107417,51.5075224878,51.9141608232,7234031,0.0,1.0
SBUX,2018-05-09 00:00:00+00:00,57.04,57.62,56.79,57.43,7015334,51.8147603412,52.3416285214,51.5876619877,52.1690337727,7015334,0.3,1.0
SBUX,2018-05-10 00:00:00+00:00,57.65,57.7,57.02,57.18,6565825,52.3688803239,52.4142999946,51.796592473,51.9419354192,6565825,0.0,1.0
SBUX,2018-05-11 00:00:00+00:00,57.27,57.86,57.07,57.72,5843427,52.0236908265,52.5596429408,51.8420121437,52.4324678628,5843427,0.0,1.0
SBUX,2018-05-14 00:00:00+00:00,57.13,57.51,56.99,57.36,5871783,51.8965157485,52.2417052459,51.7693406705,52.1054462338,5871783,0.0,1.0
SBUX,2018-05-15 00:00:00+00:00,56.64,57.1,56.35,57.0,7415770,51.4514029756,51.8692639461,51.1879688855,51.7784246047,7415770,0.0,1.0
SBUX,2018-05-16 00:00:00+00:00,57.15,57.33,56.79,56.83,4843941,51.9146836168,52.0781944313,51.5876619877,51.6239977243,4843941,0.0,1.0
SBUX,2018-05-17 00:00:00+00:00,57.2,57.35,56.98,57.2,6110124,51.9601032875,52.0963622996,51.7602567364,51.9601032875,6110124,0.0,1.0
SBUX,2018-05-18 00:00:00+00:00,57.16,57.39,56.86,57.27,7786028,51.9237675509,52.1326980362,51.6512495267,52.0236908265,7786028,0.0,1.0
SBUX,2018-05-21 00:00:00+00:00,57.34,57.82,57.26,57.4,5379291,52.0872783655,52.5233072043,52.0146068923,52.1417819703,5379291,0.0,1.0
SBUX,2018-05-22 00:00:00+00:00,56.96,57.62,56.91,57.5,5355604,51.7420888681,52.3416285214,51.6966691974,52.2326213117,5355604,0.0,1.0
SBUX,2018-05-23 00:00:00+00:00,57.49,57.57,56.76,56.8,5339882,52.2235373776,52.2962088507,51.5604101853,51.5967459219,5339882,0.0,1.0
SBUX,2018-05-24 00:00:00+00:00,57.68,57.74,57.12,57.44,5681592,52.3961321263,52.4506357311,51.8874318144,52.1781177069,5681592,0.0,1.0
SBUX,2018-05-25 00:00:00+00:00,57.92,58.38,57.58,57.68,6783776,52.6141465457,53.0320075162,52.3052927849,52.3961321263,6783776,0.0,1.0
SBUX,2018-05-29 00:00:00+00:00,57.23,57.88,57.01,57.7,6475865,51.9873550899,52.5778108091,51.7875085388,52.4142999946,6475865,0.0,1.0
SBUX,2018-05-30 00:00:00+00:00,57.48,57.66,57.15,57.43,5762434,52.2144534435,52.377964258,51.9146836168,52.1690337727,5762434,0.0,1.0
SBUX,2018-05-31 00:00:00+00:00,56.67,57.47,56.55,57.18,9433042,51.478654778,52.2053695093,51.3696475683,51.9419354192,9433042,0.0,1.0
SBUX,2018-06-01 00:00:00+00:00,56.91,57.03,56.61,56.84,4967653,51.6966691974,51.8056764071,51.4241511732,51.6330816584,4967653,0.0,1.0
